PhraseId,SentenceId,Phrase,Sentiment
110715,5866,"` In this poor remake of such a well loved classic , Parker exposes the limitations of his skill and the basic flaws in his vision . '",0
135234,7302,Without any redeeming value whatsoever .,0
73266,3743,A cheap scam put together by some cynical creeps at Revolution Studios and Imagine Entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life .,0
78103,4020,"It 's been 13 months and 295 preview screenings since I last walked out on a movie , but Resident Evil really earned my indignant , preemptive departure .",0
82934,4282,An infuriating film .,0
37316,1771,`` Interview '' loses its overall sense of mystery and becomes a TV episode rather than a documentary that you actually buy into .,0
111364,5906,"The title , alone , should scare any sane person away .",0
135569,7323,It 's not just the vampires that are damned in Queen of the Damned -- the viewers will feel they suffer the same fate .,0
108769,5758,Get out your pooper-scoopers .,0
68083,3455,"A dull , inconsistent , dishonest female bonding picture .",0
67474,3426,The only entertainment you 'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them .,0
29348,1360,"After several scenes of this tacky nonsense , you 'll be wistful for the testosterone-charged wizardry of Jerry Bruckheimer productions , especially because Half Past Dead is like The Rock on a Wal-Mart budget .",0
125562,6746,"Time literally stops on a dime in the tries-so-hard-to-be-cool `` Clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life .",0
65514,3318,"Ringu is a disaster of a story , full of holes and completely lacking in chills .",0
29405,1363,What might have been acceptable on the printed page of Iles ' book does not translate well to the screen .,0
150075,8174,It 's a road-trip drama with too many wrong turns .,0
145462,7907,"By the time you reach the finale , you 're likely wondering why you 've been watching all this strutting and posturing .",0
139731,7582,Too bad none of it is funny .,0
85028,4398,"I found it slow , predictable and not very amusing .",0
43714,2120,Guilty of the worst sin of attributable to a movie like this : it 's not scary in the slightest .,0
71792,3663,"It is dark , brooding and slow , and takes its central idea way too seriously .",0
149341,8127,"The notion of deleting emotion from people , even in an advanced Prozac Nation , is so insanely dysfunctional that the rampantly designed Equilibrium becomes a concept doofus .",0
86688,4491,"No amount of burning , blasting , stabbing , and shooting can hide a weak script .",0
49168,2403,... what a banal bore the preachy Circuit turns out to be,0
48351,2360,You ca n't believe anyone would really buy this stuff .,0
94607,4939,"There is no psychology here , and no real narrative logic -- just a series of carefully choreographed atrocities , which become strangely impersonal and abstract .",0
59650,3010,"It 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but it 's indicative of how uncompelling the movie is unless it happens to cover your particular area of interest .",0
52659,2608,"The movie is so contrived , nonsensical and formulaic that , come to think of it , the day-old shelf would be a more appropriate location to store it .",0
101899,5364,"In all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",0
128346,6906,"Eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you do n't care who fires the winning shot .",0
125762,6757,"Once Ice-T sticks his mug in the window of the couple 's BMW and begins haranguing the wife in bad stage dialogue , all credibility flies out the window .",0
90332,4702,"This is rote spookiness , with nary an original idea -LRB- or role , or edit , or score , or anything , really -RRB- in sight , and the whole of the proceedings beg the question ` Why ? '",0
125295,6732,"Depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being .",0
60453,3053,"It could have been something special , but two things drag it down to mediocrity -- director Clare Peploe 's misunderstanding of Marivaux 's rhythms , and Mira Sorvino 's limitations as a classical actress .",0
68527,3478,Rarely does a film so graceless and devoid of merit as this one come along .,0
26499,1216,A crass and insulting homage to great films like Some Like It Hot and the John Wayne classics .,0
23425,1063,Crush could be the worst film a man has made about women since Valley of the Dolls .,0
134609,7264,It appears as if even the filmmakers did n't know what kind of movie they were making .,0
124220,6670,The crap continues .,0
153888,8407,Terminally brain dead production .,0
14563,627,It 's just rather leaden and dull .,0
135226,7300,It does n't work as either .,0
76287,3917,The first Fatal Attraction was vile enough .,0
8028,329,A relative letdown .,0
85386,4416,"Comes off as a long , laborious whine , the bellyaching of a paranoid and unlikable man .",0
129934,6995,"If that does n't clue you in that something 's horribly wrong , nothing will .",0
2520,97,"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
96791,5056,"The story is lacking any real emotional impact , and the plot is both contrived and cliched .",0
136807,7400,"Gaghan captures the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing .",0
6981,280,"In addition to the overcooked , ham-fisted direction , which has all the actors reaching for the back row , the dialogue sounds like horrible poetry .",0
116107,6188,"-LRB- Lee -RRB- treats his audience the same way that Jim Brown treats his women -- as dumb , credulous , unassuming , subordinate subjects .",0
84467,4369,"An amateurish , quasi-improvised acting exercise shot on ugly digital video .",0
82816,4277,"To paraphrase a line from another Dickens ' novel , Nicholas Nickleby is too much like a fragment of an underdone potato .",0
96082,5019,A major waste ... generic .,0
50078,2460,It 's a bad action movie because there 's no rooting interest and the spectacle is grotesque and boring .,0
144098,7821,The most repugnant adaptation,0
62801,3178,"The problem is that for the most part , the film is deadly dull .",0
29142,1349,"This is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged makes no difference in the least .",0
849,32,"Hampered -- no , paralyzed -- by a self-indulgent script ... that aims for poetry and ends up sounding like satire .",0
65485,3317,"The movie 's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director Michel Gondry restate it to the point of ridiculousness .",0
112843,5992,You have no affinity for most of the characters .,0
4666,178,Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,0
104501,5515,The picture emerges as a surprisingly anemic disappointment .,0
147390,8020,"The film 's lack of personality permeates all its aspects -- from the TV movie-esque , affected child acting to the dullest Irish pub scenes ever filmed .",0
67018,3402,"Like the Tuck family themselves , this movie just goes on and on and on and on",0
29759,1379,There is nothing redeeming about this movie .,0
80164,4130,An incoherent jumble of a film that 's rarely as entertaining as it could have been .,0
52477,2597,Would Benigni 's Italian Pinocchio have been any easier to sit through than this hastily dubbed disaster ?,0
54036,2685,"The characters ... are paper-thin , and their personalities undergo radical changes when it suits the script .",0
120044,6421,"Totally overwrought , deeply biased , and wholly designed to make you feel guilty about ignoring what the filmmakers clearly believe are The Greatest Musicians of All Time .",0
126691,6812,"Very much a home video , and so devoid of artifice and purpose that it appears not to have been edited at all .",0
69174,3515,The sinister inspiration that fuelled DeVito 's early work is confused in Death to Smoochy into something both ugly and mindless .,0
61927,3132,There are many definitions of ` time waster ' but this movie must surely be one of them .,0
54507,2709,You 'll find yourself wishing that you and they were in another movie .,0
94675,4941,The cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to Stonehenge .,0
119904,6413,This is not one of the movies you 'd want to watch if you only had a week to live .,0
67413,3422,Derailed by bad writing and possibly also by some of that extensive post-production reworking to aim the film at young males in the throes of their first full flush of testosterone .,0
147921,8050,"If you enjoy being rewarded by a script that assumes you are n't very bright , then Blood Work is for you .",0
151662,8274,"Boy , has this franchise ever run out of gas .",0
16508,710,"Even a hardened voyeur would require the patience of Job to get through this interminable , shapeless documentary about the swinging subculture .",0
32062,1501,Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other .,0
110394,5848,You 'll trudge out of the theater feeling as though you rode the Zipper after eating a corn dog and an extra-large cotton candy .,0
101094,5313,The problem with ANTWONE FISHER is that it has a screenplay written by Antwone Fisher based on the book by Antwone Fisher .,0
111638,5925,You 'll just have your head in your hands wondering why Lee 's character did n't just go to a bank manager and save everyone the misery .,0
129609,6971,Devoid of any of the qualities that made the first film so special .,0
29582,1371,An annoying orgy of excess and exploitation that has no point and goes nowhere .,0
52244,2581,"The effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable .",0
96724,5052,"It looks like an action movie , but it 's so poorly made , on all levels , that it does n't even qualify as a spoof of such .",0
140888,7642,"A 94-minute travesty of unparalleled proportions , writer-director Parker seems to go out of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum .",0
54716,2723,We do n't get paid enough to sit through crap like this .,0
58846,2967,is a mess .,0
2473,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,0
72454,3703,"A boring , pretentious muddle that uses a sensational , real-life 19th-Century crime as a metaphor for -- well , I 'm not exactly sure what -- and has all the dramatic weight of a raindrop .",0
149819,8158,"The story of Trouble Every Day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult .",0
55435,2767,Poor Ben Bratt could n't find stardom if MapQuest emailed him point-to-point driving directions .,0
94887,4952,"-LRB- Creates -RRB- the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama .",0
105972,5595,Banal and predictable .,0
82179,4241,"Bread , My Sweet has so many flaws it would be easy for critics to shred it .",0
105517,5572,"A sleep-inducingly slow-paced crime drama with clumsy dialogue , heavy-handed phoney-feeling sentiment , and an overly-familiar set of plot devices .",0
62287,3149,"Imagine -LRB- if possible -RRB- a Pasolini film without passion or politics , or an Almodovar movie without beauty or humor , and you have some idea of the glum , numb experience of watching O Fantasma .",0
32983,1545,But it 's hard to imagine a more generic effort in the genre .,0
36393,1721,"Worthless , from its pseudo-rock-video opening to the idiocy of its last frames .",0
102591,5401,"The only problem is that , by the end , no one in the audience or the film seems to really care .",0
77968,4013,As pedestrian as they come .,0
56896,2863,"In my own very humble opinion , In Praise of Love lacks even the most fragmented charms I have found in almost all of his previous works .",0
150596,8208,We 've liked Klein 's other work but Rollerball left us cold .,0
149978,8168,"After you laugh once -LRB- maybe twice -RRB- , you will have completely forgotten the movie by the time you get back to your car in the parking lot .",0
104921,5543,"From the choppy editing to the annoying score to ` special effects ' by way of replacing objects in a character 's hands below the camera line , `` Besotted '' is misbegotten",0
84214,4352,Constantly slips from the grasp of its maker .,0
71544,3650,The lead actors share no chemistry or engaging charisma .,0
129153,6945,"Any reasonably creative eighth-grader could have written a more credible script , though with the same number of continuity errors .",0
38450,1832,This Tuxedo ... should have been sent back to the tailor for some major alterations .,0
35855,1692,The worst film of the year .,0
145745,7922,"In the end , there is n't much to it .",0
